symbol,CXSMILES,R1,R2,R3,source,position_class,has_sidechain,prop_status
9H5,*N[C@@H](CC1(CC(C)(C)COC)CC1)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
10C,*N[C@@H](CC(C)(C)C[C@]12C[C@H](CO1)C2)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
RZS,*N[C@@H](C[C@@H](CC)Cc1scnc1Cl)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
PET,*N[C@@H](CC(C)(C)Cc1ncsc1Cl)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
I76,*N[C@@H](C[C@@H]([C@@H]1CCSC1)C(C)(C)C)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
P9D,*N[C@@H](CCC[C@@H]1C[C@H]2CC[C@@H]1CC2)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
JLR,*N[C@@H](CCC[C@@]1(OC)CCOC1)C(*)=O |$_R1;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
UVC,*N[C@@H](C[C@H](C)CC1(OC)CCCC1)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
2SM,*N[C@@H](CC[C@@H]1CS(=O)(=O)C[C@H]1OC)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
4JA,*N[C@@H](C[C@]1([C@@H](C)COC)C[C@H](C)C1)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
9G6,*N[C@@H](C[C@]1(CC[S@](C)=O)C[C@H](C)C1)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
DMI,*N[C@@H](C[C@@]1(C(CC)CC)C[C@H]1C)C(*)=O |$_R1;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
M5X,*N[C@@H](C[C@@]1(CCCC(F)F)C[C@H]1C)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
93F,*N[C@@H](C[C@@]1([C@H](C)CCC)CC1(C)C)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
QWH,*N[C@@H](C[C@H](C)C1CC2(CCC2)C1)C(*)=O |$_R1;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
E51,*N[C@@H](CC(C)(C)CCc1ccns1)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
PQG,*N[C@@H](C[C@@H](C)Cc1sncc1Br)C(*)=O |$_R1;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
WUB,*N[C@@H](C[C@@H](C)CC1CS(=O)(=O)C1)C(*)=O |$_R1;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
CGL,*N[C@H](C(*)=O)c1nncn1-c1ccc(F)cc1 |$_R1;;;;_R2;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
NO2,*N[C@H](C(*)=O)c1nncn1[C@H](C)CC |$_R1;;;;_R2;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
JUL,*N[C@H](C(*)=O)c1nncn1CC1CCC1 |$_R1;;;;_R2;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
H5C,*N[C@H](C(*)=O)c1ncn2cc(C(=O)OC)ccc12 |$_R1;;;;_R2;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
ECI,*N[C@H](C(*)=O)c1ccc2cc(CN)oc2c1 |$_R1;;;;_R2;;;;;;;;;;;;$|,H,OH,H,NNAA,flexible,True,struct_only
O9G,*N[C@H](C(*)=O)c1ccc(-c2c(OC)nsc2OC)s1 |$_R1;;;;_R2;;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
VS2,*N[C@@H](C[C@]12CC[C@H](CC1)[NH2+]2)C(*)=O |$_R1;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
BD2,*N[C@@H](Cc1cn([C@H]2CNOC2)nn1)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
R52,*N[C@H](C(*)=O)c1sccc1-c1ccc2c(c1)CCN2 |$_R1;;;;_R2;;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
SEF,*N[C@H](C(*)=O)c1ccc(C(F)(F)F)nc1N1CCC1 |$_R1;;;;_R2;;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
QJX,*N[C@@H](Cc1nnn(Cc2oc(C)nc2C)c1C)C(*)=O |$_R1;;;;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
