symbol,CXSMILES,R1,R2,R3,source,position_class,has_sidechain,prop_status
Q,NC(=O)CC[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
meQ,CN([*])[C@@H](CCC(N)=O)C([*])=O |$;;_R1;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Gln(Me),CNC(=O)CC[C@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Gln(Me2),CN(C)C(=O)CC[C@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dGln(Me2),CN(C)C(=O)CC[C@@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Gln(Mes),CS(=O)(=O)NC(=O)CC[C@H](N[*])C([*])=O |$;;;;;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
R,NC(=[NH2+])NCCC[C@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dR,NC(=N)NCCC[C@@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
"Arg(Me,Me)",C/N=C(\NC)NCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
S,OC[C@H](N[*])C([*])=O |$;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dS,OC[C@@H](N[*])C([*])=O |$;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
meS,CN([*])[C@@H](CO)C([*])=O |$;;_R1;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Ser(Ac),CC(=O)OC[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Ser(Bn),[*]N[C@@H](COCc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Ser(EtNMe2),CN(C)CCOC[C@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Ser(EtOH),[*]N[C@@H](COCCO)C([*])=O |$_R1;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Ser(isoamyl),CC(C)CCOC[C@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Ser(Me),COC[C@H](N[*])C([*])=O |$;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dSer(Me),COC[C@@H](N[*])C([*])=O |$;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Ser(Ph(2-Cl)),[*]N[C@@H](COc1ccccc1Cl)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Ser(Ph(3-Cl)),[*]N[C@@H](COc1cccc(Cl)c1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Ser(Pr),CCCOC[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_Ser(isoamyl),CC(C)CCOC[C@@H](C([*])=O)N(C)[*] |$;;;;;;;;;_R2;;;;_R1$|,H,OH,-,CycPeptMPDB,flexible,False,full
